Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),300x300,Linux,de-DE,Unknown,Repeated,,Same Hash,Randomized,Proxy/VPN IP,High Speed,Detected,No Movement,"[0.4, 0.4, 0.5] !@#",Jump to Bottom,Constant Pressure,"[0.5, 0.4, 0.4]","[1.0, 0.2, 0.1]",Continuous Activity,No Errors,
Bot,curl/7.64.1,9999x9999,Linux,en-US,Emulated GPU,,No Plugins Detected,Same Hash,Spoofed,Proxy/VPN IP,Unrealistic Speed,Detected,Predictable Paths,"[0.6, 0.6, 0.5]",Instant Scroll,No Touch Data,"[0.3, 0.2, 0.1]","[0.5, 1.0, 0.9]",No Breaks,Perfect Rhythm,Precise Placement
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1366x768,Linux,e-nGB,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0.x.x,200 Mbps,Not Detected,Erratic,"[2.7, 2.7, 2.6]",Slow Scroll,Varied Pressure Levels,"[4.7, 2.3, 1.5]","[33.1, 11.0, 40.8]",Pause After Action,Occasional Errors,Small Adjustments ???
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1366x768,Windows 10,de-DE,"Apple M1, Integrated PGU",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+3,192.168.x.x,200 Mbps,Not Detected,Occasional Pauses,"[1.8, 1.0, 1.0]",Varies Depending on Content,Light Tap,"[4.3, 2.4, 1.3]","[30.5, 23.2, 46.0]",PauseA fter Action,Natural Pauses,Small Adjustments
Bot,HeadlessChrome/88.0.4324.96,1280x800,Custom OS,en-US,Generic CPU/GPU,Repeated,,Same Hash,No Timezone Info,Proxy/VPN IP,Burst Mdoe,Detceted,Linear Movements,"[0.6, 0.5, 0.4]",Instant Scroll,Same Pressure,"[0.3, 0.1, 0.5]","[0.9, 0.7, 0.8]",Timed Triggers,N oErrors,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebiKt/537.36 Chrome/96.0.4664.110,1280x800,Android,en-US,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash RANDOM_TEXT,UTC+8,172.16.x.x,75 Mbps,Not Detected,Hovering,"[0.8, 2.1, 1.2]",Varies Depending on Content,Slightly Hard Press,"[2.8, 1.4, 4.4]","[54.6, 25.5, 22.6]",Preiodic Inactivity,Natural Pauses,Hover Flickers
Human,Mozilla5/.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1440x900,iOS,de-DE,"Apple M1, Integrated GPU",Unique,,Unique Hash,UTC+8,192.168.x.x,20 0Mbps,Not Detected,Erratic,"[3.18, 1.01, 2.25]",Partial Scroll,Light Tap,"[3.3, 5.0, 4.2]",,Pause After Action,Varied Typing Speed,Jittrey Movements
Human,,1920x1080,Android,en-GB,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5,172.16.x.x,200 Mbps,Not Detected,Hovering,"[2.8, 1.9, 0.5]",Varies Depending on Content,Natural Touch,"[1.8, 1.4, 1.9]","[59.0, 43.5, 58.5]",Periodic Inactivity,,Jittery Movements
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,Linux,en-US,Unknown,Repeated,No Plugins Detected,Same Hash,Randomized,Datacenter IP,Low Latency Bot,Detected,Linear Movements,,Full Scroll Immediately,No Touch Data,"[0.4, 03., 0.3]","[0.8, 0.9, 0.2]",No Breaks,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x720,macOS,es-ES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+1,172.16.x.x,20 Mbps,Not Detected,Hovering,"[2.4, 0.6, 1.5]",Partial Scroll,Natural Touch,"[1.4, 4.2, 1.9]","[36.3, 46.5, 15.3]",Pause After Action,Occasional Errors,Hesitant
Bot,Python-urllib/3.9,1024x768,Unknown Unix,en-US,Generic CPU/GPU,Repeated,,Same Hash,Spoofed,Proxy/VPN IP,Unrealistic Speed,Detected,No Movement,,No Scroll,Same Pressure,"[0.2, 0.3, 0.2]","[1.0, 0.4, 0.6]",Timed Triggers,Perfect Rhythm,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1280x800,Custom OS,,No GPU Info,,,Same Hash,Spoofed,Datacenter IP,Burst Mode,Detected,No Movement,"[0.5, 0.6, 0.5]",No Scroll,Emulated Pressure,"[0.4, 0.4, 0.4]","[0.7, 0.6, 0.3]",No Breaks,Perfect Rhythm,Precise Placement
Bot,Java/1.8.0_281,320x240,Linux,d-eDE,Unknown,Repeated,,Same Hash,No Timezone Info,Proxy/VPN IP,High Speed,Detected,Predictable Paths,"[0.6, 0.5, 0.5]",No Scroll,Constant Pressure,"[0.5, 0.2, 0.5]","[0.2, 0.3, 0.8]",Timed Triggers,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,iOS,de-DE,,Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-7,172.16.x.x,75 Mbps,Not Detected RANDOM_TEXT,Hovering,"[0.9, 1.0, 2.9]",Varies Depending on Content,Natural Touch,"[1.41, 3.2, 4.19]","[20.2, 19.9, 16.8]",Bursts of Activity,Natural Pauses,Small Adjustments
Bot,Python-urllib/3.9,320x240,Unknown nUix,en-US,Virtual CPU,Repeated,Basic Plugins,Same Hash,Spoofed,IPv6 Tunnel,High Speed,Detected,,"[0.5, 0.6, 0.6]",Full Scroll Immediately,Same Pressure,"[0.2, 0.1, 0.2]","[0.2, 0.7, 0.5]",No Breaks,Perfect Rhythm,No Jitter
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,en-GB,Emulated GPU,Repeated,Emulated Flash,Same Hash,Spoofed,Proxy/VPN IP,,Detected $$$,Too Precise,"[0.5, 0.6, 0.5]",No Scroll,Emulated Pressure,"[0.3, 0.2, 0.3]","[0.6, 0.1, 0.7]",No Breaks,Constant Typing Speed,Precise Placement
Bot,Java/1.8.0_281,9999x9999,Unknown,en-US $$$,No GPU Info,Repeated,,Same Hash,No Timezone Info,Proxy/VPN IP,Low Latency Bot,Detected,Predictable Paths,"[0.5, 0.5, 0.5]",Instant Scroll,Emulated Pressure,"[0.3, 0.4, 0.1]","[0.7, 0.3, 0.2]",No Breaks,Constant Typing Speed,Precise Placement
Bot,curl/7.64.1 !@#,640x480,Unknown Unix,en-GB,Unknown,Repeated,,Same Hash,Randomized,IPv6 Tunnel,Burst Mode,Detected,,"[0.5, 0.4, 0.4]",Full Scroll Immediately,Emulated Pressure,"[0.1, 0.1, 0.1]","[0.4, 0.3, 1.0]",No Breaks,,Precise Placement
Bot,HeadlessChrome/88.0.4324.96,9999x9999,Headless Chrome,fr-FR,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,Randomized,IPv6 Tunnel,High Speed,Detected,Predictable Paths,"[0.4, 0.5, 0.6]",No Scroll,Emulated Pressure,"[0.5, 0.3, 0.2]","[0.2, 0.1, 1.0]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,HeadlessChrome/88.0.4324.96,9999x9999,Linux,en-US,No GPU Info,Repeated,Emulated Flash,Same Hash,UTC+0,Spoofed IP,Unrealistic Speed,Detected,Linear Movements,"[0.4, 0.5, 0.6]",No Scroll RANDOM_TEXT,Same Pressure,"[0.3, 0.2, 0.3]","[0.4, 0.9, 0.7]",Continuous Activity,Constant Typing Speed,No Jitter
Bot,HeadlessChrome/88.0.4324.96,300x300,Linux,es-ES $$$,Virtual CPU,Repeated,,Same Hash,Randomized,IPv6 Tunnel,Low Latency Bot,Detected,Too Precise,,No Scroll,Constant Pressure,"[0.1, 0.4, 0.1]","[0.3, 1.0, 0.7]",Timed Triggers,No Errors,No Jitter
Bot,curl/7.64.1,640x480,Custom OS,de-DE,No GPU Info,Repeated,Basic Plugins,Same Hash,UTC+0,Spoofed IP,Unrealistic Speed,Detetced,Too Precise,"[0.6, 0.5, 0.5]",Instant Scroll,No Touch Data,"[0.1, 0.4, 0.2]","[0.6, 0.9, 0.7]",oN Breaks,Constant Typing Speed,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1600x900,Android,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Wideivne CDM",Unique Hash,UTC+1,172.16.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[2.2, 1.8, 1.0]",Varies Depending on Content,Varied Pressure Levels,"[4.5, 2.0, 3.9]","[29.3, 23.3, 43.4]",Pause After Action,Natural Pauses,Small Adjustments
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,,Windows 11,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Vieewr",Unique Hash,UTC+1,192.168.x.x,20 Mbps,Not Detected,Occasional Pauses,"[2.3, 2.4, 0.5]",Slow Scroll,Light Tap,,,Pause After Action,Occasional Errors,Small Adjustments
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x800,Linux,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,192.168.x.x,50 Mbps,Not Detected,Hvoering,"[1.9, 1.3, 2.3]",Varies Depending on Content,Varied Pressure Levels,"[4.4, 1.9, 1.9]","[10.9, 59.4, 45.9]",Periodic Inactivity,Natural Pauses,Jittery Movements
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1440x900,macOS,es-ES,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,10.0.x.x,200 Mbps,Not Detected,,"[1.4, 1.4, 2.5]",Slow Scroll,Slightly Hard Press,"[1.0, 3.6, 1.9]","[58.3, 12.1, 14.5]",Pause After Action,Varied Typing Speed,Hesitant
